Pollster,Dates,Romney,Obama,N,Days_to_Election
We Ask America,2012-10-30,41,57,1198,7
YouGov,2012-10-04,38,58,849,33
Chicago Tribune/WGN,2012-10-04,36,55,700,33
YouGov,2012-09-07,36,59,1068,60
Southern Illinois U,2012-09-04,34,47,1261,63
We Ask America,2012-09-05,37,54,1382,62
Ipsos/Crain's Business Journal,2012-08-17,29,55,600,81
Ipsos/Crain's Business Journal,2012-07-16,31,51,600,113
Chicago Tribune,2012-02-02,35,56,600,278
