Pollster,Dates,Romney,Obama,N,Days_to_Election
U of Texas/Texas Tribune,2012-10-15,55,39,540,22
YouGov,2012-10-04,55,41,957,33
Texas Lyceum,2012-09-10,58,39,443,57
YouGov,2012-09-07,53,41,1165,60
Wilson Perkins Allen Opinion Research (R),2012-09-09,55,40,1000,58
U of Texas/Texas Tribune,2012-05-07,55,35,511,183
PPP (D),2012-04-19,50,43,591,201
U of Texas/Texas Tribune,2012-02-08,49,36,529,272
PPP (D),2012-01-12,49,42,700,299
U of Texas/Texas Tribune,2011-10-19,36,34,800,384
