Pollster,Dates,Romney,Obama,N,Days_to_Election
McLaughlin (R-Mourdock),2012-10-29,57,39,600,8
Pharos Research Group,2012-10-26,55,42,753,11
McLaughlin (R-Mourdock),2012-10-24,55,41,600,13
Rasmussen,2012-10-10,54,41,600,27
YouGov,2012-10-04,53,41,494,33
Howey-Depauw,2012-09-19,52,40,800,48
YouGov,2012-09-07,50,45,658,60
Global Strategy Group (D-Donnelly),2012-09-10,47,41,800,57
Rasmussen,2012-07-31,51,35,400,98
Rasmussen,2012-05-23,48,42,600,167
Howey-Depauw,2012-03-26,49,40,503,225
