Pollster,Dates,Romney,Obama,N,Days_to_Election
Baltimore Sun/OpinionWorks,2012-10-20,36,55,801,17
Washington Post,2012-10-11,36,60,843,26
YouGov,2012-10-04,37,58,498,33
Baltimore Sun/OpinionWorks,2012-09-25,34,57,804,42
Gonzales Research,2012-09-17,36,55,813,50
YouGov,2012-09-07,37,57,686,60
PPP (D)/Marylanders for Marriage Equality,2012-05-14,35,58,852,176
