Pollster,Dates,Romney,Obama,N,Days_to_Election
Fleming and Associates/WPRI,2012-10-24,33,54,601,13
Brown University,2012-09-26,32,58,471,41
Fleming and Associates/WPRI,2012-09-26,33,57,501,41
PPP (D),2011-02-16,37,54,544,629
