Pollster,Dates,Romney,Obama,N,Days_to_Election
R.L. Repass & Partners,2012-08-22,52,38,401,76
R.L. Repass & Partners,2012-04-25,54,37,410,195
PPP (D),2011-09-30,54,33,932,403
PPP (D),2011-09-01,49,37,708,432
PPP (D),2011-01-20,50,37,1105,656
