Pollster,Dates,Romney,Obama,N,Days_to_Election
MTSU,2012-10-16,59,34,609,21
YouGov,2012-10-04,52,43,484,33
YouGov,2012-09-07,50,42,694,60
Vanderbit / PSRA,2012-05-02,47,40,826,188
MTSU,2012-02-13,47,41,416,267
Vanderbit / PSRA,2012-02-16,42,39,1508,264
MTSU,2011-10-03,44,29,640,400
