Pollster,Dates,Romney,Obama,N,Days_to_Election
SoonerPoll.com,2012-10-18,58,33,305,19
SoonerPoll.com,2012-07-26,58,29,495,103
SoonerPoll.com,2012-05-07,62,27,503,183
